year,sex,age,correction,type
2012,1,31,-0.32461804071618483,prev
2013,1,31,-0.3236634150568045,prev
2014,1,31,-0.32272326555834907,prev
2015,1,31,-0.3218039358941931,prev
2016,1,31,-0.32091194433688763,prev
2017,1,31,-0.3200537023694665,prev
2018,1,31,-0.3192356133600565,prev
2019,1,31,-0.31846391089155923,prev
2020,1,31,-0.3177445678622857,prev
2021,1,31,-0.31708337400014,prev
2022,1,31,-0.31648554426453834,prev
2023,1,31,-0.3159560269895313,prev
2024,1,31,-0.31549914808550933,prev
2025,1,31,-0.31511872641147687,prev
2026,1,31,-0.31511872641147687,prev
2000,0,32,-0.33038778531022434,prev
2001,0,32,-0.3295201114058587,prev
2002,0,32,-0.3286455462013114,prev
2003,0,32,-0.32776974891481386,prev
2004,0,32,-0.3268987430420717,prev
2005,0,32,-0.32603879107623696,prev
2006,0,32,-0.3251963698528892,prev
2007,0,32,-0.324378082323702,prev
2008,0,32,-0.32359057076009534,prev
2009,0,32,-0.32284041405877245,prev
2010,0,32,-0.3221340577073787,prev
2011,0,32,-0.32147771279172427,prev
2012,0,32,-0.3208772696842203,prev
2013,0,32,-0.3203382128876304,prev
2014,0,32,-0.31986554089934033,prev
2015,0,32,-0.31946369259290036,prev
2016,0,32,-0.31913648144931134,prev
2017,0,32,-0.31888703888412573,prev
2018,0,32,-0.3187177635948054,prev
2019,0,32,-0.31863030492363426,prev
2020,0,32,-0.3186254999764895,prev
2021,0,32,-0.31870339212189774,prev
2022,0,32,-0.31886324678054007,prev
2023,0,32,-0.3191034952726214,prev
2024,0,32,-0.31942182927682267,prev
2025,0,32,-0.3198151997859009,prev
2026,0,32,-0.3198151997859009,prev
2000,1,32,-0.33531227324591995,prev
2001,1,32,-0.3346148879677176,prev
2002,1,32,-0.3338846440593187,prev
2003,1,32,-0.33312304643864765,prev
2004,1,32,-0.3323320658142423,prev
2005,1,32,-0.3315140290537838,prev
2006,1,32,-0.3306716401041269,prev
2007,1,32,-0.32980808065872813,prev
2008,1,32,-0.32892685398993937,prev
2009,1,32,-0.3280318649015531,prev
2010,1,32,-0.3271273808061451,prev
2011,1,32,-0.326217971540968,prev
2012,1,32,-0.32530848329518847,prev
2013,1,32,-0.32440410342895926,prev
2014,1,32,-0.3235100663092407,prev
2015,1,32,-0.3226318791826146,prev
2016,1,32,-0.3217750827633299,prev
2017,1,32,-0.32094527470165773,prev
2018,1,32,-0.32014800848516806,prev
2019,1,32,-0.31938885265475375,prev
2020,1,32,-0.3186730587764443,prev
2021,1,32,-0.3180057915551188,prev
2022,1,32,-0.31739191792863236,prev
2023,1,32,-0.3168359787332042,prev
2024,1,32,-0.3163421498009472,prev
2025,1,32,-0.31591416450723514,prev
2026,1,32,-0.31591416450723514,prev
2000,0,33,-0.3304005543195367,prev
2001,0,33,-0.32954008207990637,prev
2002,0,33,-0.3286729955639684,prev
2003,0,33,-0.32780486243370116,prev
2004,0,33,-0.32694159091849817,prev
2005,0,33,-0.3260893352975422,prev
2006,0,33,-0.3252544556969889,prev
2007,0,33,-0.3244434306631258,prev
2008,0,33,-0.32366276579706293,prev
2009,0,33,-0.32291893640766706,prev
2010,0,33,-0.32221826178216867,prev
2011,0,33,-0.32156683053117324,prev
2012,0,33,-0.3209704330530539,prev
2013,0,33,-0.32043445246069185,prev
2014,0,33,-0.3199638249461258,prev
2015,0,33,-0.3195629148596131,prev
2016,0,33,-0.3192354813729801,prev
2017,0,33,-0.3189846279609819,prev
2018,0,33,-0.3188127520371496,prev
2019,0,33,-0.31872148918948356,prev
2020,0,33,-0.31871171437127754,prev
2021,0,33,-0.3187835577900484,prev
2022,0,33,-0.3189362829737098,prev
2023,0,33,-0.31916842561671716,prev
2024,0,33,-0.31947782902283633,prev
2025,0,33,-0.31986149592251784,prev
2026,0,33,-0.31986149592251784,prev
2000,1,33,-0.3353370608486107,prev
2001,1,33,-0.33467548101532024,prev
2002,1,33,-0.33398434477134864,prev
2003,1,33,-0.33326500971840817,prev
2004,1,33,-0.3325191581343449,prev
2005,1,33,-0.33174880614622615,prev
2006,1,33,-0.33095630370932483,prev
2007,1,33,-0.3301443273068376,prev
2008,1,33,-0.32931588957852687,prev
2009,1,33,-0.32847433375375995,prev
2010,1,33,-0.32762323959543577,prev
2011,1,33,-0.32676651144130947,prev
2012,1,33,-0.3259082864777079,prev
2013,1,33,-0.3250529186086732,prev
2014,1,33,-0.3242049423913487,prev
2015,1,33,-0.3233690085131873,prev
2016,1,33,-0.3225499690129591,prev
2017,1,33,-0.32175258084026265,prev
2018,1,33,-0.3209817059238167,prev
2019,1,33,-0.32024214346596047,prev
2020,1,33,-0.3195386025008797,prev
2021,1,33,-0.3188756538600868,prev
2022,1,33,-0.3182576750436637,prev
2023,1,33,-0.3176888365787361,prev
2024,1,33,-0.31717299893532835,prev
2025,1,33,-0.3167137140025099,prev
2026,1,33,-0.3167137140025099,prev
2000,0,34,-0.3303837351464628,prev
2001,0,34,-0.32952773554502834,prev
2002,0,34,-0.32866541549415285,prev
2003,0,34,-0.3278022802635247,prev
2004,0,34,-0.32694416941408094,prev
2005,0,34,-0.3260971641568502,prev
2006,0,34,-0.32526754407252706,prev
2007,0,34,-0.32446170255932916,prev
2008,0,34,-0.3236860453446954,prev
2009,0,34,-0.3229470026343312,prev
2010,0,34,-0.32225075424350924,prev
2011,0,34,-0.32160332847401996,prev
2012,0,34,-0.3210104278255619,prev
2013,0,34,-0.3204773773721302,prev
2014,0,34,-0.3200090695363995,prev
2015,0,34,-0.31960975960988214,prev
2016,0,34,-0.3192831919541929,prev
2017,0,34,-0.319032431225996,prev
2018,0,34,-0.31885986615575274,prev
2019,0,34,-0.31876711972788824,prev
2020,0,34,-0.31875508146814396,prev
2021,0,34,-0.3188238662323117,prev
2022,0,34,-0.318972796702091,prev
2023,0,34,-0.31920052030046303,prev
2024,0,34,-0.31950481551747273,prev
2025,0,34,-0.31988280792599705,prev
2026,0,34,-0.31988280792599705,prev
2000,1,34,-0.3353269668339808,prev
2001,1,34,-0.33469740480028043,prev
2002,1,34,-0.33404131542947757,prev
2003,1,34,-0.3333599339413199,prev
2004,1,34,-0.33265470991816,prev
2005,1,34,-0.33192743360872196,prev
2006,1,34,-0.3311801375715196,prev
2007,1,34,-0.3304151453113934,prev
2008,1,34,-0.32963504579256714,prev
2009,1,34,-0.3288426890828683,prev
2010,1,34,-0.32804117172049446,prev
2011,1,34,-0.3272338229988193,prev
2012,1,34,-0.32642418135059564,prev
2013,1,34,-0.3256159768284887,prev
2014,1,34,-0.32481308986215707,prev
2015,1,34,-0.32401954621873597,prev
2016,1,34,-0.32323940666853473,prev
2017,1,34,-0.3224769390037452,prev
2018,1,34,-0.32173626346594775,prev
2019,1,34,-0.32102157783804014,prev
2020,1,34,-0.3203370196249981,prev
2021,1,34,-0.3196865995360748,prev
2022,1,34,-0.3190743138842014,prev
2023,1,34,-0.31850381930919686,prev
2024,1,34,-0.31797865384209134,prev
2025,1,34,-0.31750219727269147,prev
2026,1,34,-0.31750219727269147,prev
2000,0,35,-0.3303412230808298,prev
2001,0,35,-0.3294872816408184,prev
2002,0,35,-0.3286273493306935,prev
2003,0,35,-0.3277667986574981,prev
2004,0,35,-0.3269115065920928,prev
2005,0,35,-0.3260675213311951,prev
2006,0,35,-0.3252410227759171,prev
2007,0,35,-0.3244383709627942,prev
2008,0,35,-0.3236659369817494,prev
2009,0,35,-0.32293003451908914,prev
2010,0,35,-0.32223684618388515,prev
2011,0,35,-0.3215923122857311,prev
2012,0,35,-0.3210020910609851,prev
2013,0,35,-0.32047148491177047,prev
2014,0,35,-0.32000524454963536,prev
2015,0,35,-0.3196076632594243,prev
2016,0,35,-0.31928242504623716,prev
2017,0,35,-0.31903256411007813,prev
2018,0,35,-0.31886044593339774,prev
2019,0,35,-0.3187676808761357,prev
2020,0,35,-0.3187551531549103,prev
2021,0,35,-0.3188229816036104,prev
2022,0,35,-0.3189705199266513,prev
2023,0,35,-0.3191963825165893,prev
2024,0,35,-0.31949843205316286,prev
2025,0,35,-0.31987383963881094,prev
2026,0,35,-0.31987383963881094,prev
2000,1,35,-0.3352875371616798,prev
2001,1,35,-0.3346865387926214,prev
2002,1,35,-0.33406173539186507,prev
2003,1,35,-0.333414253360169,prev
2004,1,35,-0.332745434202479,prev
2005,1,35,-0.3320568493996186,prev
2006,1,35,-0.3313502872184871,prev
2007,1,35,-0.3306278157715113,prev
2008,1,35,-0.3298916598213254,prev
2009,1,35,-0.3291443022931701,prev
2010,1,35,-0.328388435446981,prev
2011,1,35,-0.32762693609119287,prev
2012,1,35,-0.3268628520377002,prev
2013,1,35,-0.32609940243734375,prev
2014,1,35,-0.3253399312581621,prev
2015,1,35,-0.32458793006400205,prev
2016,1,35,-0.3238469325995056,prev
2017,1,35,-0.3231205595290023,prev
2018,1,35,-0.3224124607274936,prev
2019,1,35,-0.32172628628236016,prev
2020,1,35,-0.32106565704484213,prev
2021,1,35,-0.3204341259016721,prev
2022,1,35,-0.31983518465929456,prev
2023,1,35,-0.31927215611866394,prev
2024,1,35,-0.31874824132276225,prev
2025,1,35,-0.31826644900282675,prev
2026,1,35,-0.31826644900282675,prev
2000,0,36,-0.3302771640780948,prev
2001,0,36,-0.329423227979596,prev
2002,0,36,-0.32856352254584426,prev
2003,0,36,-0.32770350883631216,prev
2004,0,36,-0.32684896516522605,prev
2005,0,36,-0.32600591182644784,prev
2006,0,36,-0.3251805436497577,prev
2007,0,36,-0.3243792227933953,prev
2008,0,36,-0.3236082264905263,prev
2009,0,36,-0.3228738635590551,prev
2010,0,36,-0.32218223635081644,prev
2011,0,36,-0.3215393562769425,prev
2012,0,36,-0.32095074278763225,prev
2013,0,36,-0.3204216691136282,prev
2014,0,36,-0.3199568708140315,prev
2015,0,36,-0.3195606556303481,prev
2016,0,36,-0.31923661921147656,prev
2017,0,36,-0.31898779562651375,prev
2018,0,36,-0.31881651440781655,prev
2019,0,36,-0.3187243851157294,prev
2020,0,36,-0.31871226239461853,prev
2021,0,36,-0.3187803119567023,prev
2022,0,36,-0.3189278334658779,prev
2023,0,36,-0.3191534655322183,prev
2024,0,36,-0.31945508991201227,prev
2025,0,36,-0.3198298891657814,prev
2026,0,36,-0.3198298891657814,prev
2000,1,36,-0.33522427877233063,prev
2001,1,36,-0.3346484954661626,prev
2002,1,36,-0.33405145025845406,prev
2003,1,36,-0.3334340789680345,prev
2004,1,36,-0.33279763158870096,prev
2005,1,36,-0.332143569296795,prev
2006,1,36,-0.33147347389652526,prev
2007,1,36,-0.33078916483878024,prev
2008,1,36,-0.33009264471370553,prev
2009,1,36,-0.3293860631982632,prev
2010,1,36,-0.32867187762918026,prev
2011,1,36,-0.32795251137535714,prev
2012,1,36,-0.32723066175618926,prev
2013,1,36,-0.3265091481350771,prev
2014,1,36,-0.3257908833514121,prev
2015,1,36,-0.3250788931455644,prev
2016,1,36,-0.32437628158420523,prev
2017,1,36,-0.3236861895040209,prev
2018,1,36,-0.3230118539287311,prev
2019,1,36,-0.322356423075515,prev
2020,1,36,-0.32172312375317874,prev
2021,1,36,-0.3211150624104162,prev
2022,1,36,-0.32053532712913074,prev
2023,1,36,-0.3199868990969049,prev
2024,1,36,-0.31947264655152663,prev
2025,1,36,-0.318995288970039,prev
2026,1,36,-0.318995288970039,prev
2000,0,37,-0.3301956448270426,prev
2001,0,37,-0.3293400090425087,prev
2002,0,37,-0.32847881926699424,prev
2003,0,37,-0.32761752955749296,prev
2004,0,37,-0.32676195769725286,prev
2005,0,37,-0.3259180798188911,prev
2006,0,37,-0.32509208279985985,prev
2007,0,37,-0.3242903328043517,prev
2008,0,37,-0.3235190853101441,prev
2009,0,37,-0.32278464746198016,prev
2010,0,37,-0.32209311300825294,prev
2011,0,37,-0.32145039216476484,prev
2012,0,37,-0.3208620776237274,prev
2013,0,37,-0.320333377393152,prev
2014,0,37,-0.31986903662481536,prev
2015,0,37,-0.3194732928522322,prev
2016,0,37,-0.31914975432247245,prev
2017,0,37,-0.3189014674902357,prev
2018,0,37,-0.31873070714143503,prev
2019,0,37,-0.318639084016347,prev
2020,0,37,-0.31862746035893763,prev
2021,0,37,-0.31869594506558463,prev
2022,0,37,-0.3188438956837936,prev
2023,0,37,-0.31906992334369405,prev
2024,0,37,-0.3193719122787736,prev
2025,0,37,-0.31974707319162554,prev
2026,0,37,-0.31974707319162554,prev
2000,1,37,-0.33514264109518227,prev
2001,1,37,-0.3345889925354518,prev
2002,1,37,-0.33401620966723206,prev
2003,1,37,-0.33342530050685565,prev
2004,1,37,-0.33281737676959455,prev
2005,1,37,-0.3321937813937679,prev
2006,1,37,-0.3315559731177054,prev
2007,1,37,-0.3309055777833812,prev
2008,1,37,-0.3302444418301413,prev
2009,1,37,-0.3295745480408454,prev
2010,1,37,-0.3288979135879137,prev
2011,1,37,-0.3282168666382319,prev
2012,1,37,-0.32753372500451355,prev
2013,1,37,-0.3268509918130211,prev
2014,1,37,-0.32617122366918744,prev
2015,1,37,-0.32549717463905875,prev
2016,1,37,-0.3248315277450388,prev
2017,1,37,-0.3241770595435076,prev
2018,1,37,-0.3235366032413469,prev
2019,1,37,-0.3229129723590266,prev
2020,1,37,-0.32230902049381127,prev
2021,1,37,-0.3217275197645353,prev
2022,1,37,-0.3211711860096798,prev
2023,1,37,-0.32064270349020824,prev
2024,1,37,-0.32014461641122444,prev
2025,1,37,-0.31967941476674266,prev
2026,1,37,-0.31967941476674266,prev
2000,0,38,-0.3301009593211097,prev
2001,0,38,-0.3292422855148849,prev
2002,0,38,-0.3283782447644651,prev
2003,0,38,-0.32751427417849704,prev
2004,0,38,-0.32665616321300883,prev
2005,0,38,-0.3258099351029762,prev
2006,0,38,-0.32498178936624106,prev
2007,0,38,-0.3241780235652336,prev
2008,0,38,-0.3234049494687657,prev
2009,0,38,-0.3226688443468867,prev
2010,0,38,-0.32197580833713935,prev
2011,0,38,-0.3213317381910702,prev
2012,0,38,-0.3207422183442473,prev
2013,0,38,-0.3202124485366312,prev
2014,0,38,-0.319747170483629,prev
2015,0,38,-0.31935059707220526,prev
2016,0,38,-0.319026338981269,prev
2017,0,38,-0.31877747031918424,prev
2018,0,38,-0.3186062140080675,prev
2019,0,38,-0.31851420269154995,prev
2020,0,38,-0.3185022935978432,prev
2021,0,38,-0.3185705964923246,prev
2022,0,38,-0.3187184771457179,prev
2023,0,38,-0.3189445566644042,prev
2024,0,38,-0.31924672274740734,prev
2025,0,38,-0.31962218421637173,prev
2026,0,38,-0.31962218421637173,prev
2000,1,38,-0.33504810873825547,prev
2001,1,38,-0.3345134755308804,prev
2002,1,38,-0.33396167837288226,prev
2003,1,38,-0.3333936484237225,prev
2004,1,38,-0.3328104481322495,prev
2005,1,38,-0.3322133962774251,prev
2006,1,38,-0.3316037618999627,prev
2007,1,38,-0.33098320147833366,prev
2008,1,38,-0.33035325664299364,prev
2009,1,38,-0.32971578250738853,prev
2010,1,38,-0.329072640762906,prev
2011,1,38,-0.3284259421972454,prev
2012,1,38,-0.3277778310783664,prev
2013,1,38,-0.3271304614473421,prev
2014,1,38,-0.32648624794672165,prev
2015,1,38,-0.3258475279605576,prev
2016,1,38,-0.3252167939723479,prev
2017,1,38,-0.32459651901388387,prev
2018,1,38,-0.32398924360963127,prev
2019,1,38,-0.3233974561505757,prev
2020,1,38,-0.32282375684448206,prev
2021,1,38,-0.32227059349511555,prev
2022,1,38,-0.32174040686941763,prev
2023,1,38,-0.32123559963097587,prev
2024,1,38,-0.3207584819758807,prev
2025,1,38,-0.32031123768136566,prev
2026,1,38,-0.32031123768136566,prev
2000,0,39,-0.3299973630572749,prev
2001,0,39,-0.3291347953163242,prev
2002,0,39,-0.3282668816774893,prev
2003,0,39,-0.32739911741434496,prev
2004,0,39,-0.3265373138651429,prev
2005,0,39,-0.3256875411036787,prev
2006,0,39,-0.3248559152608926,prev
2007,0,39,-0.3240487646252629,prev
2008,0,39,-0.3232724232393596,prev
2009,0,39,-0.32253311164700094,prev
2010,0,39,-0.32183703182757495,prev
2011,0,39,-0.3211899911078072,prev
2012,0,39,-0.3205976032106584,prev
2013,0,39,-0.3200650694640733,prev
2014,0,39,-0.31959713449290755,prev
2015,0,39,-0.3191980191354375,prev
2016,0,39,-0.3188713604543814,prev
2017,0,39,-0.31862015984120634,prev
2018,0,39,-0.31844674008900836,prev
2019,0,39,-0.3183527120892344,prev
2020,0,39,-0.3183389517401619,prev
2021,0,39,-0.31840558736827806,prev
2022,0,39,-0.3185519966447079,prev
2023,0,39,-0.31877682171067145,prev
2024,0,39,-0.3190779762939245,prev
2025,0,39,-0.3194526879843304,prev
2026,0,39,-0.3194526879843304,prev
2000,1,39,-0.33494616366886776,prev
2001,1,39,-0.33442753628533234,prev
2002,1,39,-0.3338933983623036,prev
2003,1,39,-0.33334471764590984,prev
2004,1,39,-0.33278255925763517,prev
2005,1,39,-0.3322081170150172,prev
2006,1,39,-0.3316226917417033,prev
2007,1,39,-0.33102774179440597,prev
2008,1,39,-0.33042482064424206,prev
2009,1,39,-0.32981560068409205,prev
2010,1,39,-0.3292018690791438,prev
2011,1,39,-0.3285855111871829,prev
2012,1,39,-0.3279685048353252,prev
2013,1,39,-0.32735291332290334,prev
2014,1,39,-0.32674085889711674,prev
2015,1,39,-0.32613455559431964,prev
2016,1,39,-0.3255362060445364,prev
2017,1,39,-0.32494814163806574,prev
2018,1,39,-0.3243726019179419,prev
2019,1,39,-0.32381190484936656,prev
2020,1,39,-0.32326833389686216,prev
2021,1,39,-0.3227441550309164,prev
2022,1,39,-0.3222415858995434,prev
2023,1,39,-0.3217627921921045,prev
2024,1,39,-0.32130986712136245,prev
2025,1,39,-0.3208848177112065,prev
2026,1,39,-0.3208848177112065,prev
2000,0,40,-0.32988922662894754,prev
2001,0,40,-0.32902217751151175,prev
2002,0,40,-0.32814979912518366,prev
2003,0,40,-0.3272775809483448,prev
2004,0,40,-0.32641130548157116,prev
2005,0,40,-0.325556990514445,prev
2006,0,40,-0.3247208338986642,prev
2007,0,40,-0.32390916058522834,prev
2008,0,40,-0.3231282473841753,prev
2009,0,40,-0.32238436809349846,prev
2010,0,40,-0.32168363981771736,prev
2011,0,40,-0.32103193835383437,prev
2012,0,40,-0.32043490133923536,prev
2013,0,40,-0.3198977052390871,prev
2014,0,40,-0.3194251053205147,prev
2015,0,40,-0.3190213401424738,prev
2016,0,40,-0.31869007470641847,prev
2017,0,40,-0.31843431988973325,prev
