year,age,F,M,province
2031,47,1.6140605947779345e-17,2.3920638668157294e-18,BC
2031,48,0,4.78746927993902e-18,BC
2031,49,8.093924977550082e-18,5.27222027927477e-18,BC
2031,50,0,0,BC
2031,51,0,7.21307423555859e-18,BC
2031,52,0,3.8527671002430805e-18,BC
2031,53,4.068147648262728e-18,4.3400207351583404e-18,BC
2031,54,7.126253603439424e-18,0,BC
2031,55,4.075606547318166e-18,0,BC
2031,56,0,0,BC
2031,57,0,9.675569169437351e-19,BC
2031,58,0,2.9035527295238646e-18,BC
2031,59,0,0,BC
2031,60,0,0,BC
2031,61,0,0,BC
2031,62,4.084913169731308e-18,0,BC
2031,63,0,5.801038163885965e-18,BC
2031,64,3.0651538264458078e-18,0,BC
2031,65,0,3.867896503189368e-18,BC
2031,66,0,0,BC
2031,67,1.2289792907906305e-17,0,BC
2031,68,0,0,BC
2031,69,7.1882013644546e-18,2.9098300970539028e-18,BC
2031,70,9.25727855857787e-18,0,BC
2031,71,0,6.80945384728449e-18,BC
2031,72,1.3424537450948234e-17,4.872713418616473e-18,BC
2031,73,1.3455386355036225e-17,0,BC
2031,74,1.2448445559424164e-17,3.914685816364884e-18,BC
2031,75,1.0393653185604142e-18,0,BC
2031,76,0,0,BC
2031,77,0,3.940318636516407e-18,BC
2031,78,0,6.910588679692809e-18,BC
2031,79,0,7.915060072234686e-18,BC
2031,80,3.132030748695046e-18,3.9661920540062016e-18,BC
2031,81,0,0,BC
2031,82,0,0,BC
2031,83,8.339819836573757e-18,9.981202298841015e-19,BC
2031,84,9.371296458962844e-18,0,BC
2031,85,5.198529344433409e-18,0,BC
2031,86,5.189935905028144e-18,8.035063949293098e-18,BC
2031,87,6.216821256677869e-18,0,BC
2031,88,6.204956332215183e-18,8.056482636231562e-18,BC
2031,89,0,1.0078280548759132e-18,BC
2031,90,0,7.057404167548271e-18,BC
2031,91,0,0,BC
2031,92,1.281318155648403e-17,1.1085122739591993e-17,BC
2031,93,4.089985383666471e-18,0,BC
2031,94,3.059494103726219e-18,1.1565328959600124e-17,BC
2031,95,1.525593560840117e-18,0,BC
2031,96,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,97,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,98,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,99,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,100,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,101,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,102,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,103,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,104,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,105,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,106,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,107,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,108,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,109,5.071424344549854e-18,1.2031183442004968e-17,BC
2031,110,5.071424344549854e-18,1.2031183442004968e-17,BC
2032,4,0,0,BC
2032,5,3.6943196696880816e-18,7.664951988389931e-18,BC
2032,6,0,5.814375212357693e-18,BC
2032,7,9.77136744219627e-4,0.002903732230021601,BC
2032,8,0.0017996273606040083,0.004284871527378087,BC
2032,9,0.0020620444380373853,0.004672759583380476,BC
2032,10,0.0019466403515780357,0.004410211377358461,BC
2032,11,0.0015667651088419345,0.0037049340259637568,BC
2032,12,9.966552023989133e-4,0.002688647422050524,BC
2032,13,2.881240979793021e-4,0.0014490242705044098,BC
2032,14,0,4.75848556792527e-5,BC
2032,15,0,0,BC
2032,16,0,1.638549968145034e-17,BC
2032,17,2.0082742994234413e-18,6.3524234868367775e-18,BC
2032,18,0,1.5892070155617097e-17,BC
2032,19,3.026773841195854e-18,0,BC
2032,20,0,0,BC
2032,21,4.045135665271456e-18,1.2676303680177082e-17,BC
2032,22,0,6.848098023914511e-18,BC
2032,23,2.0223776408394026e-18,0,BC
2032,24,9.092001665966135e-18,0,BC
2032,25,1.3112433415961518e-17,1.4039909737507702e-17,BC
2032,26,0,0,BC
2032,27,0,0,BC
2032,28,0,0,BC
2032,29,0,0,BC
2032,30,5.979352849496914e-18,8.0553654397579315e-18,BC
2032,31,6.964991712612198e-18,5.005274934303085e-19,BC
2032,32,6.956889374489501e-18,2.9866814352028915e-18,BC
2032,33,3.972326359908573e-18,2.9712769654787717e-18,BC
