fam_history,abx_exposure,year,sex,age,prob,OR,calibrated_prev,prev,calibrated_inc,province
0,0,2027,1,6,0.5688327345647823,1,0.05655564623930445,0.0858991568775545,0.01274468987174668,CA
1,0,2027,1,6,0.23542599246190557,2.4,0.12577495367425792,0.0858991568775545,0.01502394555497525,CA
0,1,2027,1,6,0.12389270639125964,1.6940388011249763,0.09218887853902712,0.0858991568775545,0.01601914045496515,CA
1,1,2027,1,6,0.05127616887813264,4.065693122699943,0.19596163214755985,0.0858991568775545,0.01887280307034554,CA
0,2,2027,1,6,0.01351056646298491,1.7865118061576193,0.0967344198660534,0.0858991568775545,0.00556094528652867,CA
1,2,2027,1,6,0.00559169387588842,4.287628334778286,0.20447141454697773,0.0858991568775545,0.00656400460272074,CA
0,3,2027,1,6,0.0010397925809732,1.8896908036147473,0.10175278576707854,0.0858991568775545,0.02045920309184844,CA
1,3,2027,1,6,4.3034478407336335e-4,4.535257928675393,0.2137562713254248,0.0858991568775545,0.0240844621636435,CA
0,0,2027,0,7,0.588156060617318,1,0.04301208646480267,0.06216193129080209,0.00542247124837527,CA
1,0,2027,0,7,0.24342344573270552,2.4,0.09736593093913434,0.06216193129080209,0.01870469636861606,CA
0,1,2027,0,7,0.1084589112712776,1.352294541455884,0.05729679579225565,0.06216193129080209,4.8542092646711063e-4,CA
1,1,2027,0,7,0.04488849757726153,3.2455068994941216,0.12730080998218074,0.06216193129080209,0.00169505935076851,CA
0,2,2027,0,7,0.0100139302836494,1.4261126499045345,0.06023607419136011,0.06216193129080209,5.774914850339298e-4,CA
1,2,2027,0,7,0.00414452145985631,3.4226703597708825,0.13332335256048067,0.06216193129080209,0.00201610116477561,CA
0,3,2027,0,7,6.468978277550884e-4,1.5077658765138224,0.06346605321806295,0.06216193129080209,6.779351362356915e-4,CA
1,3,2027,0,7,2.677352301766101e-4,3.618638103633174,0.1398890403335455,0.06216193129080209,0.00236617118311039,CA
0,0,2027,1,7,0.5582725555171011,1,0.07157647846621316,0.102596620132636,0.00736641942213451,CA
1,0,2027,1,7,0.2310553919640669,2.4,0.15613746996000571,0.102596620132636,0.01749894026630061,CA
0,1,2027,1,7,0.1320509585336854,1.352294541455884,0.09441179310051027,0.102596620132636,0.00993578393139106,CA
1,1,2027,1,7,0.05465267042362573,3.2455068994941216,0.20013513915161144,0.102596620132636,0.02351873355837224,CA
0,2,2027,1,7,0.01563880254546895,1.4261126499045345,0.09905497986202973,0.102596620132636,0.01047247162464745,CA
1,2,2027,1,7,0.00647251887323214,3.4226703597708825,0.20877909851082752,0.102596620132636,0.02477075643767349,CA
0,3,2027,1,7,0.00131348340374465,1.5088787335114358,0.10420470045753286,0.102596620132636,0.01107352324187034,CA
1,3,2027,1,7,5.436187390752383e-4,3.6213089604274455,0.218251339463526,0.102596620132636,0.02617073267730632,CA
0,0,2028,0,3,0.6194584247060725,1,0.01337227277980706,0.01772698819797203,0.01337227277980706,CA
1,0,2028,0,3,0.25637873062438343,1.13,0.01508444550957078,0.01772698819797203,0.01508444550957078,CA
0,1,2028,0,3,0.08211727955678437,3.3302706334622383,0.04318752038950835,0.01772698819797203,0.04318752038950835,CA
1,1,2028,0,3,0.03398633880084128,3.763205815812329,0.04852943546228699,0.01772698819797203,0.04852943546228699,CA
0,2,2028,0,3,0.00545034008377157,3.5120611171534653,0.04543789116032702,0.01772698819797203,0.04543789116032702,CA
1,2,2028,0,3,0.00225576280250217,3.9686290623834153,0.05104330797577491,0.01772698819797203,0.05104330797577491,CA
0,3,2028,0,3,2.4975565337157917e-4,3.710460720691525,0.04788181552881229,0.01772698819797203,0.04788181552881229,CA
1,3,2028,0,3,1.0336777227309744e-4,4.192820614381422,0.05377174202535614,0.01772698819797203,0.05377174202535614,CA
0,0,2028,1,3,0.6047595688588474,1,0.02659256151652424,0.03613198451106966,0.02659256151652424,CA
1,0,2028,1,3,0.2502952327600506,1.13,0.02994606996167995,0.03613198451106966,0.02994606996167995,CA
0,1,2028,1,3,0.09468893692009812,3.3302706334622383,0.08339275564877918,0.03613198451106966,0.08339275564877918,CA
1,1,2028,1,3,0.03918944110456795,3.763205815812329,0.09322317600327866,0.03613198451106966,0.09322317600327866,CA
0,2,2028,1,3,0.00742305009748267,3.5120611171534653,0.08754641355141873,0.03613198451106966,0.08754641355141873,CA
1,2,2028,1,3,0.00307221935395716,3.9686290623834153,0.09781422036871396,0.03613198451106966,0.09781422036871396,CA
0,3,2028,1,3,4.042441235718166e-4,3.7116999225829894,0.09206472482290068,0.03613198451106966,0.09206472482290068,CA
1,3,2028,1,3,1.6730678142424943e-4,4.1942209125187775,0.10280275311690104,0.03613198451106966,0.10280275311690104,CA
0,0,2028,0,4,0.6194584247060725,1,0.01946858004161398,0.02751251160319689,0.00787674951137088,CA
1,0,2028,0,4,0.25637873062438343,1.646815108019112,0.03166244019576497,0.02751251160319689,0.02298794281576618,CA
0,1,2028,0,4,0.08211727955678437,2.658443714934177,0.05013731352342814,0.02751251160319689,0.01358981692306131,CA
1,1,2028,0,4,0.03398633880084128,4.377965273572056,0.07997338282060872,0.02751251160319689,0.03922791390531456,CA
0,2,2028,0,4,0.00545034008377157,2.803560980764719,0.05272985984539573,0.02751251160319689,0.01430528204864994,CA
1,2,2028,0,4,0.00225576280250217,4.616946579376218,0.08397233008108178,0.02751251160319689,0.04123672472047451,CA
0,3,2028,0,4,2.4975565337157917e-4,2.961936748760126,0.0555431689779055,0.02751251160319689,0.0150809382709963,CA
1,3,2028,0,4,1.0336777227309744e-4,4.877762186855184,0.08829715213071966,0.02751251160319689,0.04340834088901253,CA
0,0,2028,1,4,0.5966673578090804,1,0.03590711174603731,0.05214795487966978,0.01462881072348325,CA
1,0,2028,1,4,0.24694606401177135,1.646815108019112,0.05779018197045466,0.05214795487966978,0.04170763678455747,CA
0,1,2028,1,4,0.10145793918739796,2.658443714934177,0.0900920602218002,0.05214795487966978,0.0252769986131081,CA
1,1,2028,1,4,0.0419909660167642,4.377965273572056,0.14019537407766725,0.05214795487966978,0.07065299682609223,CA
0,2,2028,1,4,0.00863786580942991,2.803560980764719,0.0945449814857043,0.05214795487966978,0.02658767052776469,CA
1,2,2028,1,4,0.00357500194234374,4.616946579376218,0.1467253882682769,0.05214795487966978,0.07413756285567885,CA
0,3,2028,1,4,5.12637194091713e-4,2.963483822288589,0.09940200212646748,0.05214795487966978,0.02802427897336059,CA
