year,sex,age,prev,inc
2058,0,10,0.06585334284575552,0.0059517320153796875
2059,0,10,0.06585334284575552,0.0059517320153796875
2060,0,10,0.06585334284575552,0.0059517320153796875
2061,0,10,0.06585334284575552,0.0059517320153796875
2062,0,10,0.06585334284575552,0.0059517320153796875
2063,0,10,0.06585334284575552,0.0059517320153796875
2064,0,10,0.06585334284575552,0.0059517320153796875
2065,0,10,0.06585334284575552,0.0059517320153796875
2000,1,10,0.1568083754441829,0.009706200058967959
2001,1,10,0.16659695520476864,0.009561124990149016
2002,1,10,0.17574880788197034,0.00941821830601872
2003,1,10,0.1840963761240527,0.009277447596513812
2004,1,10,0.19148096838398887,0.009138780935992548
2005,1,10,0.19775775102577692,0.009002186875994212
2006,1,10,0.20280046082624278,0.008867634438106934
2007,1,10,0.20650562424457067,0.008735093106941915
2008,1,10,0.20879608672806124,0.008604532823212897
2009,1,10,0.20962368397265999,0.008475923976918912
2010,1,10,0.2089709259712308,0.00834923740062898
2011,1,10,0.20685161160795756,0.008224444362867223
2012,1,10,0.20331034363440822,0.008101516561596724
2013,1,10,0.19842096783897356,0.007980426117800902
2014,1,10,0.19228401269806242,0.007861145569160776
2015,1,10,0.1850232534912632,0.007743647863826748
2016,1,10,0.17678156485591306,0.007627906354283437
2017,1,10,0.16771625571460122,0.007513894791306258
2018,1,10,0.15799409884617446,0.007401587318008313
2019,1,10,0.14778627334916902,0.007290958463976246
2020,1,10,0.13726343200362884,0.007181983139493816
2021,1,10,0.1265910880392325,0.007074636629851675
2022,1,10,0.11592548874775582,0.006968894589742332
2023,1,10,0.10541010897180067,0.006864733037738793
2024,1,10,0.09517285834739117,0.006762128350855847
2025,1,10,0.0853240550001941,0.006661057259192479
2026,1,10,0.0853240550001941,0.006661057259192479
2027,1,10,0.0853240550001941,0.006661057259192479
2028,1,10,0.0853240550001941,0.006661057259192479
2029,1,10,0.0853240550001941,0.006661057259192479
2030,1,10,0.0853240550001941,0.006661057259192479
2031,1,10,0.0853240550001941,0.006661057259192479
2032,1,10,0.0853240550001941,0.006661057259192479
2033,1,10,0.0853240550001941,0.006661057259192479
2034,1,10,0.0853240550001941,0.006661057259192479
2035,1,10,0.0853240550001941,0.006661057259192479
2036,1,10,0.0853240550001941,0.006661057259192479
2037,1,10,0.0853240550001941,0.006661057259192479
2038,1,10,0.0853240550001941,0.006661057259192479
2039,1,10,0.0853240550001941,0.006661057259192479
2040,1,10,0.0853240550001941,0.006661057259192479
2041,1,10,0.0853240550001941,0.006661057259192479
2042,1,10,0.0853240550001941,0.006661057259192479
2043,1,10,0.0853240550001941,0.006661057259192479
2044,1,10,0.0853240550001941,0.006661057259192479
2045,1,10,0.0853240550001941,0.006661057259192479
2046,1,10,0.0853240550001941,0.006661057259192479
2047,1,10,0.0853240550001941,0.006661057259192479
2048,1,10,0.0853240550001941,0.006661057259192479
2049,1,10,0.0853240550001941,0.006661057259192479
2050,1,10,0.0853240550001941,0.006661057259192479
2051,1,10,0.0853240550001941,0.006661057259192479
2052,1,10,0.0853240550001941,0.006661057259192479
2053,1,10,0.0853240550001941,0.006661057259192479
2054,1,10,0.0853240550001941,0.006661057259192479
2055,1,10,0.0853240550001941,0.006661057259192479
2056,1,10,0.0853240550001941,0.006661057259192479
2057,1,10,0.0853240550001941,0.006661057259192479
2058,1,10,0.0853240550001941,0.006661057259192479
2059,1,10,0.0853240550001941,0.006661057259192479
2060,1,10,0.0853240550001941,0.006661057259192479
2061,1,10,0.0853240550001941,0.006661057259192479
2062,1,10,0.0853240550001941,0.006661057259192479
2063,1,10,0.0853240550001941,0.006661057259192479
2064,1,10,0.0853240550001941,0.006661057259192479
2065,1,10,0.0853240550001941,0.006661057259192479
2000,0,11,0.10664499272698398,0.008717787147111866
2001,0,11,0.11286037264551983,0.008547954395892673
2002,0,11,0.11872391560055554,0.008381430186497212
2003,0,11,0.12414540905202374,0.008218150064637851
2004,0,11,0.12903836058139376,0.008058050831672284
2005,0,11,0.1333222794677619,0.007901070520142151
2006,0,11,0.13692487232851167,0.007747148369788067
2007,0,11,0.1397840694285209,0.007596224804032017
2008,0,11,0.1418498024270061,0.007448241406917805
2009,0,11,0.1430854624647142,0.007303140900500798
2010,0,11,0.1434689792739466,0.007160867122678135
2011,0,11,0.14299347686948471,0.007021365005450778
2012,0,11,0.14166747860255582,0.006884580553609129
2013,0,11,0.13951465303377517,0.006750460823833782
2014,0,11,0.1365731112116187,0.006618953904203509
2015,0,11,0.13289428450769727,0.006490008894102368
2016,0,11,0.12854142917310754,0.0063635758845183256
2017,0,11,0.12358781835635559,0.006239605938725615
2018,0,11,0.11811469373461884,0.0061180510733434635
2019,0,11,0.11220905662936535,0.005998864239763835
2020,0,11,0.10596138220779075,0.00588199930594091
2021,0,11,0.09946334005887128,0.005767411038535429
2022,0,11,0.09280560026014277,0.005655055085406779
2023,0,11,0.0860757964175881,0.005544887958446252
2024,0,11,0.0793567066456083,0.005436867016744651
2025,0,11,0.07272470077046013,0.005330950450087879
2026,0,11,0.07272470077046013,0.005330950450087879
2027,0,11,0.07272470077046013,0.005330950450087879
2028,0,11,0.07272470077046013,0.005330950450087879
2029,0,11,0.07272470077046013,0.005330950450087879
2030,0,11,0.07272470077046013,0.005330950450087879
2031,0,11,0.07272470077046013,0.005330950450087879
2032,0,11,0.07272470077046013,0.005330950450087879
2033,0,11,0.07272470077046013,0.005330950450087879
2034,0,11,0.07272470077046013,0.005330950450087879
2035,0,11,0.07272470077046013,0.005330950450087879
2036,0,11,0.07272470077046013,0.005330950450087879
2037,0,11,0.07272470077046013,0.005330950450087879
2038,0,11,0.07272470077046013,0.005330950450087879
2039,0,11,0.07272470077046013,0.005330950450087879
2040,0,11,0.07272470077046013,0.005330950450087879
2041,0,11,0.07272470077046013,0.005330950450087879
2042,0,11,0.07272470077046013,0.005330950450087879
2043,0,11,0.07272470077046013,0.005330950450087879
2044,0,11,0.07272470077046013,0.005330950450087879
2045,0,11,0.07272470077046013,0.005330950450087879
2046,0,11,0.07272470077046013,0.005330950450087879
2047,0,11,0.07272470077046013,0.005330950450087879
2048,0,11,0.07272470077046013,0.005330950450087879
2049,0,11,0.07272470077046013,0.005330950450087879
2050,0,11,0.07272470077046013,0.005330950450087879
2051,0,11,0.07272470077046013,0.005330950450087879
2052,0,11,0.07272470077046013,0.005330950450087879
2053,0,11,0.07272470077046013,0.005330950450087879
2054,0,11,0.07272470077046013,0.005330950450087879
2055,0,11,0.07272470077046013,0.005330950450087879
2056,0,11,0.07272470077046013,0.005330950450087879
2057,0,11,0.07272470077046013,0.005330950450087879
2058,0,11,0.07272470077046013,0.005330950450087879
2059,0,11,0.07272470077046013,0.005330950450087879
2060,0,11,0.07272470077046013,0.005330950450087879
2061,0,11,0.07272470077046013,0.005330950450087879
2062,0,11,0.07272470077046013,0.005330950450087879
2063,0,11,0.07272470077046013,0.005330950450087879
2064,0,11,0.07272470077046013,0.005330950450087879
2065,0,11,0.07272470077046013,0.005330950450087879
2000,1,11,0.14898033917934725,0.008108117249267103
2001,1,11,0.1596709296423611,0.007986928147375198
2002,1,11,0.16988311354133268,0.007867550415245944
2003,1,11,0.17943288209326985,0.007749956978989319
2004,1,11,0.18814007673139174,0.007634121169378953
2005,1,11,0.19583398598859128,0.007520016715803771
2006,1,11,0.2023588829082138,0.007407617740310083
2007,1,11,0.20757925353525855,0.0072968987517325725
2008,1,11,0.2113844719377171,0.007187834639913201
2009,1,11,0.21369269673437935,0.0070804006700063956
2010,1,11,0.21445379750946472,0.006974572476869378
2011,1,11,0.21365116498094225,0.006870326059536402
2012,1,11,0.2113023136349246,0.006767637775775454
2013,1,11,0.20745824628873083,0.006666484336726445
2014,1,11,0.20220161278016005,0.0065668428016194625
2015,1,11,0.19564375562296898,0.006468690572572019
2016,1,11,0.18792079010705537,0.0063720053894640045
2017,1,11,0.1791889115184002,0.006276765324889294
2018,1,11,0.1696191552073838,0.006182948779182787
2019,1,11,0.15939185437642925,0.0060905344755217685
2020,1,11,0.148691044964882,0.00599950145510055
2021,1,11,0.13769905721962,0.005909829072377108
2022,1,11,0.12659151078459255,0.0058214969903909045
2023,1,11,0.11553289659126614,0.005734485176150581
2024,1,11,0.10467288727981505,0.005648773896090719
2025,1,11,0.09414347149385667,0.00556434371159634
2026,1,11,0.09414347149385667,0.00556434371159634
2027,1,11,0.09414347149385667,0.00556434371159634
2028,1,11,0.09414347149385667,0.00556434371159634
2029,1,11,0.09414347149385667,0.00556434371159634
2030,1,11,0.09414347149385667,0.00556434371159634
2031,1,11,0.09414347149385667,0.00556434371159634
2032,1,11,0.09414347149385667,0.00556434371159634
2033,1,11,0.09414347149385667,0.00556434371159634
2034,1,11,0.09414347149385667,0.00556434371159634
2035,1,11,0.09414347149385667,0.00556434371159634
2036,1,11,0.09414347149385667,0.00556434371159634
2037,1,11,0.09414347149385667,0.00556434371159634
2038,1,11,0.09414347149385667,0.00556434371159634
2039,1,11,0.09414347149385667,0.00556434371159634
2040,1,11,0.09414347149385667,0.00556434371159634
2041,1,11,0.09414347149385667,0.00556434371159634
2042,1,11,0.09414347149385667,0.00556434371159634
2043,1,11,0.09414347149385667,0.00556434371159634
2044,1,11,0.09414347149385667,0.00556434371159634
2045,1,11,0.09414347149385667,0.00556434371159634
2046,1,11,0.09414347149385667,0.00556434371159634
2047,1,11,0.09414347149385667,0.00556434371159634
2048,1,11,0.09414347149385667,0.00556434371159634
2049,1,11,0.09414347149385667,0.00556434371159634
2050,1,11,0.09414347149385667,0.00556434371159634
2051,1,11,0.09414347149385667,0.00556434371159634
2052,1,11,0.09414347149385667,0.00556434371159634
2053,1,11,0.09414347149385667,0.00556434371159634
2054,1,11,0.09414347149385667,0.00556434371159634
2055,1,11,0.09414347149385667,0.00556434371159634
2056,1,11,0.09414347149385667,0.00556434371159634
2057,1,11,0.09414347149385667,0.00556434371159634
2058,1,11,0.09414347149385667,0.00556434371159634
2059,1,11,0.09414347149385667,0.00556434371159634
2060,1,11,0.09414347149385667,0.00556434371159634
2061,1,11,0.09414347149385667,0.00556434371159634
2062,1,11,0.09414347149385667,0.00556434371159634
2063,1,11,0.09414347149385667,0.00556434371159634
2064,1,11,0.09414347149385667,0.00556434371159634
2065,1,11,0.09414347149385667,0.00556434371159634
2000,0,12,0.10576508879834357,0.007978667474200285
2001,0,12,0.11239427271876615,0.007823233643878397
2002,0,12,0.11872170475700475,0.007670827847458988
2003,0,12,0.1246522627572166,0.007521391095278781
2004,0,12,0.13009311371332705,0.007374865546862521
2005,0,12,0.13495610952032674,0.007231194488535497
2006,0,12,0.139160150982144,0.007090322311472083
2007,0,12,0.14263343198062517,0.006952194490172034
2008,0,12,0.1453154772697221,0.006816757561355989
2009,0,12,0.147158893187633,0.006683959103272173
2010,0,12,0.14813076050467547,0.006553747715406234
2011,0,12,0.14821361222012128,0.0064260729985862975
2012,0,12,0.14740595572907497,0.006300885535475681
2013,0,12,0.14572231754916412,0.006178136871445542
2014,0,12,0.14319280873443216,0.006057779495820245
2015,0,12,0.13986222914204155,0.0059397668234879965
2016,0,12,0.13578874778130182,0.005824053176869812
2017,0,12,0.13104221355293608,0.00571059376823968
2018,0,12,0.1257021648973952,0.005599344682389189
2019,0,12,0.1198556175170523,0.005490262859629872
2020,0,12,0.11359471594708383,0.00538330607912664
2021,0,12,0.10701433710326282,0.005278432942555972
2022,0,12,0.10020973206823099,0.0051756028580823765
2023,0,12,0.09327428657243651,0.0050747760246471
2024,0,12,0.08629747137946608,0.004975913416562825
2025,0,12,0.07936304176945218,0.00487897676840856
2026,0,12,0.07936304176945218,0.00487897676840856
2027,0,12,0.07936304176945218,0.00487897676840856
2028,0,12,0.07936304176945218,0.00487897676840856
2029,0,12,0.07936304176945218,0.00487897676840856
2030,0,12,0.07936304176945218,0.00487897676840856
2031,0,12,0.07936304176945218,0.00487897676840856
2032,0,12,0.07936304176945218,0.00487897676840856
2033,0,12,0.07936304176945218,0.00487897676840856
2034,0,12,0.07936304176945218,0.00487897676840856
2035,0,12,0.07936304176945218,0.00487897676840856
2036,0,12,0.07936304176945218,0.00487897676840856
2037,0,12,0.07936304176945218,0.00487897676840856
2038,0,12,0.07936304176945218,0.00487897676840856
2039,0,12,0.07936304176945218,0.00487897676840856
2040,0,12,0.07936304176945218,0.00487897676840856
2041,0,12,0.07936304176945218,0.00487897676840856
2042,0,12,0.07936304176945218,0.00487897676840856
2043,0,12,0.07936304176945218,0.00487897676840856
2044,0,12,0.07936304176945218,0.00487897676840856
2045,0,12,0.07936304176945218,0.00487897676840856
2046,0,12,0.07936304176945218,0.00487897676840856
2047,0,12,0.07936304176945218,0.00487897676840856
2048,0,12,0.07936304176945218,0.00487897676840856
2049,0,12,0.07936304176945218,0.00487897676840856
2050,0,12,0.07936304176945218,0.00487897676840856
2051,0,12,0.07936304176945218,0.00487897676840856
2052,0,12,0.07936304176945218,0.00487897676840856
2053,0,12,0.07936304176945218,0.00487897676840856
2054,0,12,0.07936304176945218,0.00487897676840856
2055,0,12,0.07936304176945218,0.00487897676840856
2056,0,12,0.07936304176945218,0.00487897676840856
2057,0,12,0.07936304176945218,0.00487897676840856
2058,0,12,0.07936304176945218,0.00487897676840856
2059,0,12,0.07936304176945218,0.00487897676840856
2060,0,12,0.07936304176945218,0.00487897676840856
2061,0,12,0.07936304176945218,0.00487897676840856
2062,0,12,0.07936304176945218,0.00487897676840856
2063,0,12,0.07936304176945218,0.00487897676840856
2064,0,12,0.07936304176945218,0.00487897676840856
2065,0,12,0.07936304176945218,0.00487897676840856
2000,1,12,0.13950004502706087,0.006948701409526084
2001,1,12,0.15070686298872915,0.0068448416776985006
2002,1,12,0.16160547335730047,0.0067425342997942716
2003,1,12,0.17200594392869203,0.006641756073339629
2004,1,12,0.18171684906918506,0.0065424841426598036
2005,1,12,0.19055102705376414,0.006444695993695538
2006,1,12,0.19833152157386377,0.006348369448897128
2007,1,12,0.2048974469636496,0.0062534826621946545
2008,1,12,0.21010950711736262,0.006160014114043544
2009,1,12,0.21385490433847995,0.006067942606544084
2010,1,12,0.21605139675441656,0.005977247258633906
2011,1,12,0.2166503005297588,0.0058879075013523775
2012,1,12,0.21563828383129918,0.005799903073175663
2013,1,12,0.21303786022436697,0.00571321401542162
2014,1,12,0.20890655599952987,0.005627820667723322
2015,1,12,0.20333479443868713,0.005543703663570263
2016,1,12,0.19644260569039293,0.005460843925916163
2017,1,12,0.18837532942643614,0.005379222662852476
2018,1,12,0.17929852506080599,0.005298821363346528
2019,1,12,0.16939233815902274,0.0052196217930433565
2020,1,12,0.1588455899559091,0.005141605990130353
2021,1,12,0.14784985902391312,0.00506475626126361
2022,1,12,0.13659381067204507,0.004989055177555258
2023,1,12,0.12525800227812636,0.0049144855706207
2024,1,12,0.11401035403838491,0.0048410305286850286
2025,1,12,0.10300242778114008,0.0047686733927475005
2026,1,12,0.10300242778114008,0.0047686733927475005
2027,1,12,0.10300242778114008,0.0047686733927475005
2028,1,12,0.10300242778114008,0.0047686733927475005
2029,1,12,0.10300242778114008,0.0047686733927475005
2030,1,12,0.10300242778114008,0.0047686733927475005
2031,1,12,0.10300242778114008,0.0047686733927475005
2032,1,12,0.10300242778114008,0.0047686733927475005
2033,1,12,0.10300242778114008,0.0047686733927475005
2034,1,12,0.10300242778114008,0.0047686733927475005
2035,1,12,0.10300242778114008,0.0047686733927475005
2036,1,12,0.10300242778114008,0.0047686733927475005
2037,1,12,0.10300242778114008,0.0047686733927475005
2038,1,12,0.10300242778114008,0.0047686733927475005
2039,1,12,0.10300242778114008,0.0047686733927475005
2040,1,12,0.10300242778114008,0.0047686733927475005
2041,1,12,0.10300242778114008,0.0047686733927475005
2042,1,12,0.10300242778114008,0.0047686733927475005
2043,1,12,0.10300242778114008,0.0047686733927475005
2044,1,12,0.10300242778114008,0.0047686733927475005
2045,1,12,0.10300242778114008,0.0047686733927475005
2046,1,12,0.10300242778114008,0.0047686733927475005
2047,1,12,0.10300242778114008,0.0047686733927475005
2048,1,12,0.10300242778114008,0.0047686733927475005
2049,1,12,0.10300242778114008,0.0047686733927475005
2050,1,12,0.10300242778114008,0.0047686733927475005
2051,1,12,0.10300242778114008,0.0047686733927475005
2052,1,12,0.10300242778114008,0.0047686733927475005
2053,1,12,0.10300242778114008,0.0047686733927475005
2054,1,12,0.10300242778114008,0.0047686733927475005
2055,1,12,0.10300242778114008,0.0047686733927475005
2056,1,12,0.10300242778114008,0.0047686733927475005
2057,1,12,0.10300242778114008,0.0047686733927475005
2058,1,12,0.10300242778114008,0.0047686733927475005
2059,1,12,0.10300242778114008,0.0047686733927475005
2060,1,12,0.10300242778114008,0.0047686733927475005
2061,1,12,0.10300242778114008,0.0047686733927475005
2062,1,12,0.10300242778114008,0.0047686733927475005
2063,1,12,0.10300242778114008,0.0047686733927475005
2064,1,12,0.10300242778114008,0.0047686733927475005
2065,1,12,0.10300242778114008,0.0047686733927475005
2000,0,13,0.10398327274755323,0.007441507091572569
2001,0,13,0.11086868170333368,0.007296537777542278
2002,0,13,0.11750413265024641,0.0071543926363242605
2003,0,13,0.12379304766606221,0.007015016649709146
2004,0,13,0.12963976201467778,0.006878355871306993
2005,0,13,0.13495191494415287,0.006744357405667033
2006,0,13,0.13964285974846644,0.006612969387804096
2007,0,13,0.14363400594061626,0.0064841409631239705
2008,0,13,0.14685700544180846,0.00635782226773976
2009,0,13,0.14925569798045524,0.006233964409171758
2010,0,13,0.15078773839610465,0.0061125194474233036
2011,0,13,0.1514258399832184,0.00599344037642526
2012,0,13,0.1511585828693258,0.005876681105842047
2013,0,13,0.14999075396639808,0.00576219644323203
2014,0,13,0.14794320435585695,0.005649942076555534
2015,0,13,0.1450522300438267,0.005539874557023535
2016,0,13,0.14136850178235402,0.005431951282280563
2017,0,13,0.13695558804324232,0.0053261304799151424
2018,0,13,0.13188813129169402,0.005222371191291527
2019,0,13,0.12624975062514388,0.0051206332556964
2020,0,13,0.12013075300677065,0.005020877294794377
2021,0,13,0.11362574035659033,0.004923064697386399
2022,0,13,0.1068312005418798,0.004827157604464975
2023,0,13,0.09984316696112,0.0047331188945606475
2024,0,13,0.09275502430373907,0.004640912169373842
2025,0,13,0.08565552775396183,0.004550501739686704
2026,0,13,0.08565552775396183,0.004550501739686704
2027,0,13,0.08565552775396183,0.004550501739686704
2028,0,13,0.08565552775396183,0.004550501739686704
2029,0,13,0.08565552775396183,0.004550501739686704
2030,0,13,0.08565552775396183,0.004550501739686704
2031,0,13,0.08565552775396183,0.004550501739686704
2032,0,13,0.08565552775396183,0.004550501739686704
2033,0,13,0.08565552775396183,0.004550501739686704
2034,0,13,0.08565552775396183,0.004550501739686704
2035,0,13,0.08565552775396183,0.004550501739686704
2036,0,13,0.08565552775396183,0.004550501739686704
2037,0,13,0.08565552775396183,0.004550501739686704
2038,0,13,0.08565552775396183,0.004550501739686704
2039,0,13,0.08565552775396183,0.004550501739686704
2040,0,13,0.08565552775396183,0.004550501739686704
2041,0,13,0.08565552775396183,0.004550501739686704
2042,0,13,0.08565552775396183,0.004550501739686704
2043,0,13,0.08565552775396183,0.004550501739686704
2044,0,13,0.08565552775396183,0.004550501739686704
2045,0,13,0.08565552775396183,0.004550501739686704
2046,0,13,0.08565552775396183,0.004550501739686704
2047,0,13,0.08565552775396183,0.004550501739686704
2048,0,13,0.08565552775396183,0.004550501739686704
2049,0,13,0.08565552775396183,0.004550501739686704
2050,0,13,0.08565552775396183,0.004550501739686704
2051,0,13,0.08565552775396183,0.004550501739686704
2052,0,13,0.08565552775396183,0.004550501739686704
2053,0,13,0.08565552775396183,0.004550501739686704
2054,0,13,0.08565552775396183,0.004550501739686704
2055,0,13,0.08565552775396183,0.004550501739686704
2056,0,13,0.08565552775396183,0.004550501739686704
2057,0,13,0.08565552775396183,0.004550501739686704
2058,0,13,0.08565552775396183,0.004550501739686704
2059,0,13,0.08565552775396183,0.004550501739686704
2060,0,13,0.08565552775396183,0.004550501739686704
2061,0,13,0.08565552775396183,0.004550501739686704
2062,0,13,0.08565552775396183,0.004550501739686704
2063,0,13,0.08565552775396183,0.004550501739686704
2064,0,13,0.08565552775396183,0.004550501739686704
2065,0,13,0.08565552775396183,0.004550501739686704
2000,1,13,0.12917232937875603,0.006095570868036891
2001,1,13,0.14055101260004146,0.006004462570474639
2002,1,13,0.1517865148943025,0.005914716035750421
2003,1,13,0.16269234654928705,0.005826310910086625
