year,province,N,prop_male,projection_scenario
2043,CA,458900,0.5120941381564611,M2
2043,CA,458900,0.5120941381564611,M3
2043,CA,458800,0.512205754141238,M4
2043,CA,457400,0.5122431132487976,M5
2043,CA,574700,0.5120932660518531,HG
2043,CA,570300,0.5120112221637735,SA
2043,CA,372800,0.5120708154506438,FA
2043,BC,41200,0.5121359223300971,LG
2043,BC,51900,0.51252408477842,M1
2043,BC,51300,0.5126705653021443,M2
2043,BC,53600,0.5130597014925373,M3
2043,BC,52700,0.5123339658444023,M4
2043,BC,56400,0.5124113475177305,M5
2043,BC,66200,0.5120845921450151,HG
2043,BC,65600,0.5137195121951219,SA
2043,BC,41600,0.5120192307692307,FA
2044,CA,371000,0.5121293800539084,LG
2044,CA,461400,0.5121369744256611,M1
2044,CA,461600,0.5121317157712305,M2
2044,CA,461600,0.5121317157712305,M3
2044,CA,461500,0.5122426868905742,M4
2044,CA,460100,0.5120625950880243,M5
2044,CA,581200,0.5120440467997247,HG
2044,CA,576500,0.5120555073720728,SA
2044,CA,373500,0.512182061579652,FA
2045,CA,371200,0.5121228448275862,LG
2045,CA,463900,0.5121793489976288,M1
2045,CA,464100,0.5121741004093945,M2
2045,CA,464100,0.5121741004093945,M3
2045,CA,464000,0.5120689655172413,M4
2045,CA,462500,0.5122162162162163,M5
2045,CA,587700,0.5121660711247235,HG
2045,CA,582700,0.5120988501801956,SA
2045,CA,373900,0.5121690291521798,FA
2046,CA,371200,0.5121228448275862,LG
2046,CA,466300,0.5121166630924298,M1
2046,CA,466400,0.5122212692967409,M2
2046,CA,466500,0.5121114683815648,M3
2046,CA,466400,0.5120068610634648,M4
2046,CA,464800,0.5120481927710844,M5
2046,CA,594200,0.512117132278694,HG
2046,CA,588900,0.5121412803532008,SA
2046,CA,374000,0.5120320855614974,FA
2047,CA,370900,0.5122674575357239,LG
2047,CA,468500,0.512059765208111,M1
2047,CA,468600,0.5121638924455826,M2
2047,CA,468700,0.512054619159377,M3
2047,CA,468600,0.5121638924455826,M4
2047,CA,466900,0.5121010923109873,M5
2047,CA,600800,0.5121504660452729,HG
2047,CA,595200,0.5120967741935484,SA
2047,CA,373900,0.5121690291521798,FA
2048,CA,370400,0.5121490280777538,LG
2048,CA,470600,0.5121121971950702,M1
2048,CA,470800,0.512107051826678,M2
2048,CA,470800,0.512107051826678,M3
2048,CA,470700,0.5122158487359252,M4
2048,CA,469000,0.5121535181236674,M5
2048,CA,607700,0.512094783610334,HG
2048,CA,601800,0.5121302758391493,SA
2048,CA,373400,0.5120514193893948,FA
2049,CA,369600,0.5121753246753247,LG
2049,CA,472700,0.5121641633171145,M1
2049,CA,472900,0.5121590188200466,M2
2049,CA,472900,0.5121590188200466,M3
2049,CA,472800,0.5122673434856176,M4
2049,CA,471000,0.5121019108280255,M5
2049,CA,614900,0.5121157911855586,HG
2049,CA,608600,0.5121590535655604,SA
2049,CA,372700,0.5122082103568554,FA
2050,CA,368600,0.5119370591427022,LG
2050,CA,474800,0.5122156697556866,M1
2050,CA,475000,0.5122105263157894,M2
2050,CA,475000,0.5122105263157894,M3
2050,CA,474900,0.5121078121709833,M4
2050,CA,473000,0.5122621564482029,M5
2050,CA,622300,0.5121324120199261,HG
2050,CA,615700,0.5121000487250285,SA
2050,CA,371900,0.5119655821457381,FA
2051,CA,367400,0.5119760479041916,LG
2051,CA,476900,0.5122667225833508,M1
2051,CA,477100,0.5120519807168309,M2
2051,CA,477100,0.5122615803814714,M3
2051,CA,477000,0.5121593291404613,M4
2051,CA,475000,0.5122105263157894,M5
2051,CA,630000,0.5120634920634921,HG
2051,CA,623000,0.5121990369181381,SA
2051,CA,370800,0.5121359223300971,FA
2052,CA,366100,0.51215514886643,LG
2052,CA,479100,0.5122103944896681,M1
2052,CA,479300,0.512205299394951,M2
2052,CA,479300,0.512205299394951,M3
2052,CA,479200,0.5121035058430717,M4
2052,CA,477100,0.5122615803814714,M5
2052,CA,638000,0.5122257053291536,HG
2052,CA,630700,0.5121293800539084,SA
2052,CA,369700,0.5120367865837165,FA
