REF_DATE,Projection_scenario,all,birth,reference_to_birth
2025,M3,39913200,395900,100.8163677696388
2025,M4,39913900,396000,100.79267676767677
2025,M5,39912000,395700,100.86429112964368
2025,HG,40754200,438400,92.96122262773723
2025,SA,40548000,437800,92.61763362265874
2025,FA,39372700,358400,109.85686383928571
2026,LG,39428500,356700,110.53686571348472
2026,M1,40315200,397900,101.31992963056044
2026,M2,40315300,397900,101.32018094998743
2026,M3,40314900,397800,101.3446455505279
2026,M4,40315800,398000,101.29597989949748
2026,M5,40313400,397600,101.39185110663983
2026,HG,41309800,444200,92.9981990094552
2026,SA,41056400,443600,92.55275022542831
2026,FA,39679100,357300,111.05261684858662
2027,LG,39677700,355600,111.57958380202474
2027,M1,40713900,399800,101.83566783391696
2027,M2,40714100,399800,101.83616808404201
2027,M3,40713500,399800,101.83466733366683
2027,M4,40714700,399900,101.81220305076269
2027,M5,40711800,399500,101.90688360450564
2027,HG,41872300,450000,93.04955555555556
2027,SA,41567900,449200,92.53762243989314
2027,FA,39978000,356200,112.23469960696238
2028,LG,39915900,354600,112.56598984771574
2028,M1,41109200,401700,102.33806323126711
2028,M2,41109500,401800,102.3133399701344
2028,M3,41108800,401700,102.33706746328106
2028,M4,41110200,401900,102.28962428464793
2028,M5,41106600,401400,102.40807174887892
2028,HG,42441100,455700,93.13385999561115
2028,SA,42082200,454700,92.54937321310754
2028,FA,40269100,355300,113.3383056571911
2029,LG,40143200,353900,113.43091268719978
2029,M1,41500700,403800,102.77538385339277
2029,M2,41501000,403800,102.77612679544329
2029,M3,41500200,403800,102.7741456166419
2029,M4,41501900,403900,102.75290913592474
2029,M5,41497700,403400,102.86985622211205
2029,HG,43015600,461500,93.20823401950163
2029,SA,42598900,460400,92.5258470894874
2029,FA,40552200,354600,114.36040609137056
2030,LG,40359500,353300,114.23577696009058
2030,M1,41888100,406000,103.17266009852217
2030,M2,41888500,406000,103.17364532019704
2030,M3,41887500,406000,103.17118226600985
2030,M4,41889500,406100,103.1507017975868
2030,M5,41884600,405600,103.26577909270218
2030,HG,43595500,467400,93.27235772357723
2030,SA,43118000,466200,92.48820248820249
2030,FA,40826800,354200,115.26482213438736
2031,LG,40564900,353000,114.91473087818697
2031,M1,42271000,408400,103.50391772771792
2031,M2,42271500,408400,103.50514201762978
2031,M3,42270400,408400,103.5024485798237
2031,M4,42272700,408500,103.4827417380661
2031,M5,42267000,407900,103.62098553567051
2031,HG,44180100,473500,93.30538542766631
2031,SA,43639200,472100,92.43634823130692
2031,FA,41092700,353900,116.11387397569935
2032,LG,40759500,353000,115.46600566572238
2032,M1,42649300,411000,103.76958637469586
2032,M2,42649900,411100,103.74580394064705
2032,M3,42648600,411100,103.74264169301873
2032,M4,42651200,411200,103.72373540856032
2032,M5,42644700,410500,103.88477466504263
2032,HG,44769200,480000,93.26916666666666
2032,SA,44162600,478400,92.31312709030101
2032,FA,41349500,354000,116.80649717514125
2033,LG,40943600,353300,115.88904613642796
2033,M1,43022800,414000,103.91980676328502
2033,M2,43023600,414100,103.89664332286887
2033,M3,43022100,414000,103.91811594202899
2033,M4,43024900,414200,103.87469821342347
2033,M5,43017500,413400,104.05781325592646
2033,HG,45362400,486800,93.18488085456039
2033,SA,44688300,485000,92.14082474226804
2033,FA,41597200,354500,117.34047954866008
2034,LG,41117500,354000,116.15112994350282
2034,M1,43391500,417400,103.95663632007667
2034,M2,43392400,417400,103.95879252515573
2034,M3,43390700,417400,103.95471969333973
2034,M4,43393900,417500,103.93748502994012
2034,M5,43385500,416700,104.11687065034798
2034,HG,45959500,494000,93.03542510121457
2034,SA,45216500,492000,91.90345528455285
2034,FA,41835400,355300,117.74669293554743
2035,LG,41281500,355200,116.2204391891892
2035,M1,43755500,421100,103.9076228924246
2035,M2,43756500,421200,103.88532763532764
2035,M3,43754600,421200,103.88081671415004
2035,M4,43758000,421300,103.86422976501305
2035,M5,43748600,420400,104.06422454804948
2035,HG,46560400,501700,92.80526210882998
2035,SA,45747400,499500,91.58638638638638
2035,FA,42064200,356600,117.95905776780707
2036,LG,41436100,356700,116.16512475469582
2036,M1,44114700,425300,103.72607571126264
2036,M2,44115900,425400,103.70451339915374
2036,M3,44113900,425400,103.69981194170192
2036,M4,44117500,425400,103.70827456511519
2036,M5,44106900,424500,103.90318021201414
2036,HG,47165000,509900,92.49852912335751
2036,SA,46281500,507400,91.21304690579424
2036,FA,42283300,358200,118.04383026242323
2037,LG,41581700,358500,115.98800557880055
2037,M1,44469400,429800,103.46533271288972
2037,M2,44470700,429900,103.44428936962085
2037,M3,44468500,429900,103.43917190044196
2037,M4,44472300,429900,103.4480111653873
2037,M5,44460500,429000,103.63752913752914
2037,HG,47773200,518500,92.13731918997107
2037,SA,46819200,515799.99999999994,90.77006591702211
2037,FA,42492800,360100,118.00277700638712
2038,LG,41718700,360500,115.72454923717059
2038,M1,44819500,434500,103.15189873417721
2038,M2,44821100,434600,103.13184537505752
2038,M3,44818600,434600,103.1260929590428
2038,M4,44822700,434600,103.13552692130695
2038,M5,44809600,433600,103.34317343173431
2038,HG,48384800,527400,91.742131209708
2038,SA,47361000,524400,90.31464530892448
2038,FA,42692500,362300,117.8374275462324
2039,LG,41847600,362700,115.37799834574028
2039,M1,45165300,439400,102.78857532999545
2039,M2,45167100,439500,102.76928327645051
2039,M3,45164400,439600,102.73976342129208
2039,M4,45168600,439500,102.77269624573378
2039,M5,45154100,438400,102.9974908759124
2039,HG,49000000,536600,91.31569139023482
2039,SA,47907200,533400,89.81477315335583
2039,FA,42882300,364600,117.61464618760286
2040,LG,41968700,364800,115.04577850877193
2040,M1,45506800,444400,102.4005400540054
2040,M2,45508700,444500,102.38177727784027
2040,M3,45505800,444500,102.37525309336333
2040,M4,45510200,444500,102.385151856018
2040,M5,45494200,443300,102.62621249718023
2040,HG,49618500,546000,90.87637362637362
2040,SA,48458300,542500,89.32405529953917
2040,FA,43062000,366800,117.39912758996728
