year,sex,age,calibrator_multiplier,province
2000,1,63,0.836845563335719,BC
2000,1,64,0.9379941819462804,BC
2000,1,65,1.2116682755469077,BC
2000,1,66,2.1191730814284657,BC
2000,1,67,1.2866000054538076,BC
2000,1,68,1.6144128059130622,BC
2000,1,69,0.9669528487379814,BC
2000,1,70,1.7148561661252515,BC
2000,1,71,1.8989841165185264,BC
2000,1,72,2.297979236013985,BC
2000,1,73,1.7110566942237273,BC
2000,1,74,1.8921947154965273,BC
2000,1,75,1.2695897729427554,BC
2000,1,76,0.8622036593028494,BC
2000,1,77,2.138089092735382,BC
2000,1,78,1.7240024350313812,BC
2000,1,79,1.364723025268521,BC
2000,1,80,1.6945874206645577,BC
2000,1,81,0.9830948016075572,BC
2000,1,82,2.5026634043124245,BC
2000,1,83,0.9422407592882625,BC
