year,sex,age,province,n,total_n,prop
2000,TRUE,62,BC,16433,4035980,0.004071625726589329
2000,TRUE,63,BC,15856,4035980,0.003928661688115402
2000,TRUE,64,BC,15992,4035980,0.003962358584532134
2000,TRUE,65,BC,15411,4035980,0.003818403460869479
2000,TRUE,66,BC,15157,4035980,0.0037554695513852894
2000,TRUE,67,BC,15090,4035980,0.0037388688744741053
2000,TRUE,68,BC,15114,4035980,0.00374481538560647
2000,TRUE,69,BC,15009,4035980,0.003718799399402376
2000,TRUE,70,BC,14313,4035980,0.0035463505765638086
2000,TRUE,71,BC,13383,4035980,0.0033159232701846886
2000,TRUE,72,BC,12826,4035980,0.003177914657654399
2000,TRUE,73,BC,12054,4035980,0.002986635216230011
2000,TRUE,74,BC,11432,4035980,0.0028325214693829008
2000,TRUE,75,BC,10717,4035980,0.0026553649918978784
2000,TRUE,76,BC,10338,4035980,0.0025614596702659576
2000,TRUE,77,BC,9597,4035980,0.0023778611390542076
2000,TRUE,78,BC,9261,4035980,0.002294609983201106
2000,TRUE,79,BC,8456,4035980,0.0020951540889697176
2000,TRUE,80,BC,7640,4035980,0.0018929727104693285
2000,TRUE,81,BC,5856,4035980,0.0014509487162969092
2000,TRUE,82,BC,5195,4035980,0.001287171888859707
2000,TRUE,83,BC,4631,4035980,0.001147428877249144
2000,TRUE,84,BC,4347,4035980,0.0010770618288494988
2000,TRUE,85,BC,4103,4035980,0.0010166056323371276
2000,TRUE,86,BC,3428,4035980,8.493600067393793e-4
2000,TRUE,87,BC,2692,4035980,6.670003320135382e-4
2000,TRUE,88,BC,2120,4035980,5.252751500255204e-4
2000,TRUE,89,BC,1700,4035980,4.2121120520914373e-4
2000,TRUE,90,BC,1100,4035980,2.725484269000342e-4
2000,TRUE,91,BC,823,4035980,2.0391577758066196e-4
2000,TRUE,92,BC,615,4035980,1.5237934776683729e-4
2000,TRUE,93,BC,457,4035980,1.1323148281210512e-4
2000,TRUE,94,BC,296,4035980,7.334030396582739e-5
2000,TRUE,95,BC,194,4035980,4.806763165327876e-5
2000,TRUE,96,BC,141,4035980,3.493575290264075e-5
2000,TRUE,97,BC,80,4035980,1.9821703774547942e-5
2000,TRUE,98,BC,47,4035980,1.1645250967546916e-5
2000,TRUE,99,BC,81,4035980,2.006947507172979e-5
2000,FALSE,0,BC,20119,4035980,0.0049849107280016255
2000,FALSE,1,BC,20651,4035980,0.005116725058102369
2000,FALSE,2,BC,21228,4035980,0.005259689096576296
2000,FALSE,3,BC,21936,4035980,0.0054351111749810456
2000,FALSE,4,BC,23380,4035980,0.005792892928111636
2000,FALSE,5,BC,23440,4035980,0.005807759205942547
2000,FALSE,6,BC,23647,4035980,0.005859047864459189
2000,FALSE,7,BC,24262,4035980,0.006011427212226027
2000,FALSE,8,BC,24758,4035980,0.006134321775628224
2000,FALSE,9,BC,25137,4035980,0.006228227097260145
2000,FALSE,10,BC,25643,4035980,0.006353599373634161
2000,FALSE,11,BC,25310,4035980,0.006271091531672605
2000,FALSE,12,BC,25162,4035980,0.0062344213796896916
2000,FALSE,13,BC,25743,4035980,0.006378376503352346
2000,FALSE,14,BC,25992,4035980,0.0064400715563506265
2000,FALSE,15,BC,26624,4035980,0.006596663016169555
2000,FALSE,16,BC,27092,4035980,0.00671261998325066
2000,FALSE,17,BC,26569,4035980,0.006583035594824553
2000,FALSE,18,BC,26318,4035980,0.006520844999231909
2000,FALSE,19,BC,26278,4035980,0.006510934147344635
