REF_DATE,Projection_scenario,VALUE,prop_male,relative_change
2025,M1,397800,0.5122505683253348,1.0260510704152694
2026,M1,399700,0.5119376727821061,1.0309517668300232
2027,M1,401600,0.5120060030015007,1.035852463244777
2028,M1,403600,0.5120736868309683,1.0410110910497807
2029,M1,405800,0.5121347201584944,1.046685581635285
2030,M1,408100,0.5120689655172413,1.0526180036110395
2031,M1,410700,0.511998041136141,1.0593242197575445
2032,M1,413700,0.5121654501216545,1.0670621614650504
2033,M1,417000,0.5120772946859904,1.0755738973433067
2034,M1,420800,0.5119789171058936,1.085375290172814
2035,M1,424900,0.5122298741391593,1.095950477173072
2036,M1,429400,0.5121090994592052,1.1075573897343307
2037,M1,434100,0.5120986505351326,1.1196801650760897
2038,M1,439000,0.5120828538550057,1.1323188031983493
2039,M1,444000,0.512061902594447,1.145215372710859
2040,M1,448900,0.5121512151215122,1.1578540108331183
2041,M1,453700,0.5121299799688404,1.1702347175651278
2042,M1,458300,0.5120017617264919,1.1820995615166365
2043,M1,461000,0.5120994113799869,1.1890637090533918
2044,M1,463500,0.5121369744256611,1.1955119938096466
2045,M1,465800,0.5121793489976288,1.2014444157854012
2046,M1,468000,0.5121166630924298,1.2071189063709054
2047,M1,470100,0.512059765208111,1.2125354655661593
2048,M1,472200,0.5121121971950701,1.2179520247614135
2049,M1,474300,0.5121641633171145,1.2233685839566675
2050,M1,476400,0.5122156697556866,1.2287851431519217
2051,M1,478500,0.5122667225833508,1.2342017023471756
2052,M1,480700,0.5122103944896681,1.2398761929326798
2053,M1,483000,0.5121545813421982,1.2458086149084344
2054,M1,485300,0.5122001654259718,1.2517410368841888
2055,M1,487800,0.5121399176954733,1.2581893216404436
2056,M1,490300,0.5120802620802621,1.2646376063966984
2057,M1,492900,0.5120162932790224,1.2713438225432034
2058,M1,495600,0.5121555915721232,1.2783079700799587
2059,M1,498400,0.5121902075357646,1.285530049006964
2060,M1,501400,0.5122195512820513,1.29326799071447
2061,M1,504500,0.5121465551573078,1.301263863812226
2062,M1,507700,0.5122723673792557,1.309517668300232
2063,M1,511000,0.5120943952802359,1.3180294041784886
2064,M1,514500,0.5121141070730755,1.3270570028372453
2065,M1,518100,0.5121288569765186,1.3363425328862522
2066,M1,521799.99999999994,0.5122374253227983,1.3458859943255093
2067,M1,525700,0.512148459919648,1.355945318545267
2020,M2,387700,0.5120685180378926,1
2021,M2,389900,0.5121321631388746,1.0056744905855042
2022,M2,392000,0.5121888632281242,1.0110910497807584
2023,M2,394000,0.5121204388874713,1.0162496775857621
2024,M2,395900,0.512058898197512,1.021150374000516
2025,M2,397800,0.5122505683253348,1.0260510704152694
2026,M2,399700,0.5121889922090979,1.0309517668300232
2027,M2,401600,0.5120060030015007,1.035852463244777
2028,M2,403700,0.5119462419113987,1.041269022440031
